campaignid,sample,latitude,longitude,date,time.bottom,site,location,visibility,image,fov.Limited,fov.Open,mean.relief,sd.relief,broad.Consolidated,broad.Macroalgae,broad.Seagrasses,broad.Sponges,broad.Stony corals,broad.Unconsolidated,broad.Unknown,Total.Sum
2021-04_FRDC_BOSS,C752,-31.56798167,115.6049867,9/04/2021,9:07:29,Two Rocks,Perth,Good,Bottom,0,100,0.025,0.158113883,0,0,0,0,0,65,0,65
2021-04_FRDC_BOSS,C743,-31.58050833,115.6363183,9/04/2021,9:22:55,Two Rocks,Perth,Moderate,Bottom,1.25,98.75,0.025,0.158113883,0,0,0,0,0,67,1,68
2021-04_FRDC_BOSS,C704,-31.56219167,115.6294467,9/04/2021,9:35:01,Two Rocks,Perth,Poor,Bottom,0,100,NA,NA,0,0,0,0,0,31,0,31
2021-04_FRDC_BOSS,C720,-31.56445333,115.61741,9/04/2021,9:44:10,Two Rocks,Perth,Moderate,Bottom,0,100,1.05,0.220721428,0,26,0,0,0,29,3,58
2021-04_FRDC_BOSS,C732,-31.55850922,115.6184858,9/04/2021,9:51:57,Two Rocks,Perth,Moderate,Bottom,0,100,0,0,0,0,0,0,0,53,0,53
2021-04_FRDC_BOSS,C748,-31.54651833,115.6119417,9/04/2021,10:02:19,Two Rocks,Perth,Moderate,Bottom,0,100,0.342857143,0.481593992,0,1,0,0,0,57,0,58
2021-04_FRDC_BOSS,C728,-31.54438333,115.60718,9/04/2021,10:09:41,Two Rocks,Perth,Moderate,Bottom,0,100,2.815789474,0.392859452,0,0,43,0,0,4,6,53
2021-04_FRDC_BOSS,C716,-31.53674,115.60527,9/04/2021,10:18:30,Two Rocks,Perth,Moderate,Bottom,0,100,1.716981132,1.378088957,0,28,0,0,0,36,2,66
2021-04_FRDC_BOSS,C756,-31.53288833,115.6065517,9/04/2021,10:26:56,Two Rocks,Perth,Poor,Bottom,0,100,NA,NA,0,1,0,0,0,35,0,36
2021-04_FRDC_BOSS,C760,-31.51833,115.5964633,9/04/2021,10:39:02,Two Rocks,Perth,Poor,Bottom,0,100,NA,NA,0,0,0,0,0,0,80,80
